fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,retorno_log_diario,media_movil_7d,media_movil_30d,volatilidad_7d,volatilidad_30d
2021-02-27,38390.06,39970.89,37498.87,3826048,38260.48,38030607901,-0.003272955503048292,4120380.8571428573,3303791.466666667,0.04702500764774357,1.1299424618757588
2021-02-28,38265.09,38697.84,35819.45,373325,37332.5,44202316989,-2.3271383417178444,3495768.285714286,3266871.5,0.8669797082839846,1.1337270670754382
2021-03-01,37350.48,41319.69,37313.16,4119219,41192.19,44727892898,2.400969507324087,3447610.4285714286,3399117.2666666666,1.3658470617471166,1.1379404617899194
2021-03-02,41176.31,41606.48,39066.09,400327,40032.7,39330914776,-2.3311371481305603,2930781.0,3357660.2333333334,1.6257175779738364,1.1387987922466392
2021-03-03,40063.17,43555.67,39945.79,419528,41952.8,44179660436,0.04684855666931938,2407222.0,3279009.2333333334,1.6268387142543765,1.133851960809069
2021-03-04,41939.57,42899.51,39813.22,4057854,40578.54,43739383062,2.2692792716179064,2433556.0,3315932.6333333333,1.9046449802190968,1.2112236893384973
2021-03-05,40550.01,41470.57,38919.18,4107653,41076.53,40823509587,0.012197556728489592,2471993.4285714286,3349122.9,1.904632723914343,1.21119688640229
2021-03-06,41052.96,41244.39,39658.56,4104732,41047.32,28837937827,-0.0007113646335816625,2511805.4285714286,3383082.1333333333,1.9046300669667056,1.2111938423387552
2021-03-07,41052.61,43084.97,41052.61,4293599,42935.99,36170069489,0.04498485443881121,3071844.5714285714,3420674.6,1.6073083636084495,1.2112079141909953
2021-03-08,42908.68,44139.58,41620.09,440865,44086.5,41007335943,-2.2761418818249783,2546365.4285714286,3326741.8666666667,1.584067499127748,1.2810745295748838
2021-03-09,44108.82,46082.25,43888.0,4608225,46082.25,42794119992,2.346859323175848,3147493.714285714,3372720.533333333,1.5805979284967255,1.3548156440639536
2021-03-10,46082.16,48033.21,44874.66,4696933,46969.33,48048644343,0.019066992192483725,3758551.5714285714,3401519.4,1.5815178055588912,1.3544820392408918
2021-03-11,46931.28,48472.58,45614.77,4824739,48247.39,47385377215,0.0268468975445874,3868106.5714285714,3549556.6,1.3346377252103128,1.2824339522773165
2021-03-12,48260.83,48397.08,46400.93,4796294,47962.94,46589149629,-0.005913103692937125,3966483.8571428573,3585882.9,1.3346836196255598,1.2143013353075356
2021-03-13,47972.38,51604.29,47031.56,5123554,51235.54,50755954934,0.06600480250157098,4112029.8571428573,3625019.9,1.3347314358958815,1.2143053496874068
2021-03-14,51217.17,51532.39,49624.3,496243,49624.3,36736633354,-2.3345378917459163,3569550.4285714286,3510911.6,1.6061832189172904,1.2874926980929584
2021-03-15,49595.1,50651.14,46427.17,4687645,46876.45,55690582652,2.245619877025112,4176233.285714286,3537618.566666667,1.5920521182404905,1.3551360801896113
2021-03-16,46820.77,47739.87,44903.38,4772708,47727.08,50201362534,0.01798353454437945,4199730.857142857,3562728.6666666665,1.3227811232805406,1.355128181140329
2021-03-17,47744.66,49206.13,45834.09,4912988,49129.88,50287731657,0.028968451988220817,4230595.857142857,3594765.566666667,1.3228039537501748,1.3551276226499132
2021-03-18,49148.39,50395.45,45520.6,4854607,48546.07,46773269733,-0.011954159694000724,4234862.714285715,3620916.6666666665,1.322785409556755,1.3551253124203162
2021-03-19,48538.95,49977.86,47535.96,4883994,48839.94,41069651510,0.0060351767564388046,4247391.285714285,3639405.9,1.3227828893551488,1.3550842768100262
2021-03-20,48827.89,50250.09,48728.31,4881231,48812.31,42156042545,-0.0005658855937742823,4212773.714285715,3659648.7666666666,1.3224902437387092,1.3550808499076223
2021-03-21,48809.19,49192.55,46872.5,4840521,48405.21,43709708070,-0.008375082589328613,4833384.857142857,3805626.466666667,0.8468650231511088,1.2880120826013806
2021-03-22,48400.56,49095.93,45497.93,4569941,45699.41,47369105335,-0.057522065025061235,4816570.0,3803646.3666666667,0.02777520010446518,1.2173815703432445
2021-03-23,45684.75,47231.16,44838.55,4623027,46230.27,47662707362,0.011549390814122994,4795187.0,3799560.1666666665,0.027037284826414622,1.2173745004266172
2021-03-24,46206.23,48454.45,44467.14,4467563,44675.63,59738118759,-0.03420661555374757,4731554.857142857,3799934.8,0.024398447436498827,1.2173353646204155
2021-03-25,44635.41,45187.79,43093.26,4390733,43907.33,57745645064,-0.017346886262366256,4665287.142857143,3812354.8,0.024423789579402538,1.2171841675856447
2021-03-26,43889.37,46749.44,43801.77,4674944,46749.44,48033869056,0.06272100052296047,4635422.857142857,3832038.2333333334,0.03795651074320385,1.217231199607259
2021-03-27,46749.66,47962.66,45991.1,4745843,47458.43,40076024963,0.015051892918287195,4616081.714285715,3861115.8,0.03879600392561897,1.2171837183455267
2021-03-28,47459.64,47875.45,46699.7,474718,47471.8,40460013386,-2.302303412435842,3992395.5714285714,3748986.7,0.8698080712355742,1.2881531977534808
2021-03-29,47469.39,49509.45,46820.03,4907179,49071.79,48965901937,2.335733570400818,4040572.4285714286,3785024.4,1.3392344211947882,1.3610343439305244
